"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251230,2025-12-30,099741,CME ,00,099 ,  869169,  294738,  137273,   17460,  464299,  675925,  776497,  830658,   92672,   38511,  869169,  294738,  137273,   17460,  464299,  675925,  776497,  830658,   92672,   38511,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2218,    1559,    3985,    -585,     815,    2963,    1789,    6363,     429,   -4145,  100.0,   33.9,   15.8,    2.0,   53.4,   77.8,   89.3,   95.6,   10.7,    4.4,  100.0,   33.9,   15.8,    2.0,   53.4,   77.8,   89.3,   95.6,   10.7,    4.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    317,    104,     35,     23,    138,     90,    249,    141,    317,    104,     35,     23,    138,     90,    249,    141,      0,      0,      0,      0,      0,      0,      0,      0,    16.5,    54.4,    26.3,    69.8,    15.8,    54.4,    25.4,    69.7,    16.5,    54.4,    26.3,    69.8,    15.8,    54.4,    25.4,    69.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251223,2025-12-23,099741,CME ,00,099 ,  866951,  293179,  133288,   18045,  463484,  672962,  774708,  824295,   92243,   42656,  866951,  293179,  133288,   18045,  463484,  672962,  774708,  824295,   92243,   42656,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0, -120035,   16177,    1189,     565,   11901,   25322,   28643,   27076, -148678, -147111,  100.0,   33.8,   15.4,    2.1,   53.5,   77.6,   89.4,   95.1,   10.6,    4.9,  100.0,   33.8,   15.4,    2.1,   53.5,   77.6,   89.4,   95.1,   10.6,    4.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    320,    107,     34,     25,    139,     91,    251,    145,    320,    107,     34,     25,    139,     91,    251,    145,      0,      0,      0,      0,      0,      0,      0,      0,    16.6,    54.5,    26.5,    69.8,    15.9,    54.5,    25.5,    69.7,    16.6,    54.5,    26.5,    69.8,    15.9,    54.5,    25.5,    69.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251216,2025-12-16,099741,CME ,00,099 ,  986986,  277002,  132099,   17480,  451583,  647640,  746065,  797219,  240921,  189767,  986986,  277002,  132099,   17480,  451583,  647640,  746065,  797219,  240921,  189767,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   44192,    8884,    2769,  -21875,  -85079,  -78619,  -98070,  -97725,  142262,  141917,  100.0,   28.1,   13.4,    1.8,   45.8,   65.6,   75.6,   80.8,   24.4,   19.2,  100.0,   28.1,   13.4,    1.8,   45.8,   65.6,   75.6,   80.8,   24.4,   19.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    312,    110,     32,     25,    134,     84,    251,    134,    312,    110,     32,     25,    134,     84,    251,    134,      0,      0,      0,      0,      0,      0,      0,      0,    13.5,    45.7,    21.9,    58.9,    12.9,    45.7,    21.1,    58.8,    13.5,    45.7,    21.9,    58.9,    12.9,    45.7,    21.1,    58.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251209,2025-12-09,099741,CME ,00,099 ,  942794,  268118,  129330,   39355,  536662,  726259,  844135,  894944,   98659,   47850,  942794,  268118,  129330,   39355,  536662,  726259,  844135,  894944,   98659,   47850,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   91610,   18446,  -11889,   12514,   54334,   88179,   85294,   88804,    6316,    2806,  100.0,   28.4,   13.7,    4.2,   56.9,   77.0,   89.5,   94.9,   10.5,    5.1,  100.0,   28.4,   13.7,    4.2,   56.9,   77.0,   89.5,   94.9,   10.5,    5.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    305,     95,     38,     26,    133,     94,    236,    152,    305,     95,     38,     26,    133,     94,    236,    152,      0,      0,      0,      0,      0,      0,      0,      0,    17.0,    54.2,    27.9,    69.8,    16.4,    52.7,    26.1,    68.0,    17.0,    54.2,    27.9,    69.8,    16.4,    52.7,    26.1,    68.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251202,2025-12-02,099741,CME ,00,099 ,  851184,  249672,  141219,   26841,  482328,  638080,  758841,  806140,   92343,   45044,  851184,  249672,  141219,   26841,  482328,  638080,  758841,  806140,   92343,   45044,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   20595,    5280,   -9102,    5325,    8124,   26900,   18729,   23123,    1866,   -2528,  100.0,   29.3,   16.6,    3.2,   56.7,   75.0,   89.2,   94.7,   10.8,    5.3,  100.0,   29.3,   16.6,    3.2,   56.7,   75.0,   89.2,   94.7,   10.8,    5.3,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    302,     89,     41,     28,    132,     95,    233,    152,    302,     89,     41,     28,    132,     95,    233,    152,      0,      0,      0,      0,      0,      0,      0,      0,    18.1,    56.4,    29.4,    70.7,    17.4,    55.7,    28.4,    69.9,    18.1,    56.4,    29.4,    70.7,    17.4,    55.7,    28.4,    69.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251125,2025-11-25,099741,CME ,00,099 ,  830589,  244392,  150321,   21516,  474204,  611180,  740112,  783017,   90477,   47572,  830589,  244392,  150321,   21516,  474204,  611180,  740112,  783017,   90477,   47572,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3574,     431,    5367,    1224,    1188,   -1986,    2843,    4605,     731,   -1031,  100.0,   29.4,   18.1,    2.6,   57.1,   73.6,   89.1,   94.3,   10.9,    5.7,  100.0,   29.4,   18.1,    2.6,   57.1,   73.6,   89.1,   94.3,   10.9,    5.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    294,     82,     42,     25,    127,     93,    219,    150,    294,     82,     42,     25,    127,     93,    219,    150,      0,      0,      0,      0,      0,      0,      0,      0,    18.2,    57.0,    29.7,    69.9,    17.6,    56.8,    28.7,    69.6,    18.2,    57.0,    29.7,    69.9,    17.6,    56.8,    28.7,    69.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251118,2025-11-18,099741,CME ,00,099 ,  827015,  243961,  144954,   20292,  473016,  613166,  737269,  778412,   89746,   48603,  827015,  243961,  144954,   20292,  473016,  613166,  737269,  778412,   89746,   48603,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4260,    8041,  -17377,   -2833,   -9842,   18935,   -4634,   -1275,     374,   -2985,  100.0,   29.5,   17.5,    2.5,   57.2,   74.1,   89.1,   94.1,   10.9,    5.9,  100.0,   29.5,   17.5,    2.5,   57.2,   74.1,   89.1,   94.1,   10.9,    5.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    289,     84,     40,     24,    123,     90,    213,    148,    289,     84,     40,     24,    123,     90,    213,    148,      0,      0,      0,      0,      0,      0,      0,      0,    18.3,    57.2,    29.7,    70.7,    17.5,    57.2,    28.7,    70.7,    18.3,    57.2,    29.7,    70.7,    17.5,    57.2,    28.7,    70.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251110,2025-11-10,099741,CME ,00,099 ,  831275,  235920,  162331,   23125,  482858,  594231,  741903,  779687,   89372,   51588,  831275,  235920,  162331,   23125,  482858,  594231,  741903,  779687,   89372,   51588,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -3901,  -16622,    1584,    4685,    5956,   -9283,   -5981,   -3014,    2080,    -887,  100.0,   28.4,   19.5,    2.8,   58.1,   71.5,   89.2,   93.8,   10.8,    6.2,  100.0,   28.4,   19.5,    2.8,   58.1,   71.5,   89.2,   93.8,   10.8,    6.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    295,     80,     45,     26,    124,     92,    214,    153,    295,     80,     45,     26,    124,     92,    214,    153,      0,      0,      0,      0,      0,      0,      0,      0,    18.1,    56.0,    29.9,    67.5,    17.4,    55.9,    28.8,    67.4,    18.1,    56.0,    29.9,    67.5,    17.4,    55.9,    28.8,    67.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251104,2025-11-04,099741,CME ,00,099 ,  835176,  252542,  160747,   18440,  476902,  603514,  747884,  782701,   87292,   52475,  835176,  252542,  160747,   18440,  476902,  603514,  747884,  782701,   87292,   52475,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -8541,    2142,   17680,    -146,   -5652,  -30636,   -3656,  -13102,   -4885,    4561,  100.0,   30.2,   19.2,    2.2,   57.1,   72.3,   89.5,   93.7,   10.5,    6.3,  100.0,   30.2,   19.2,    2.2,   57.1,   72.3,   89.5,   93.7,   10.5,    6.3,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    312,     84,     55,     29,    126,     97,    219,    173,    312,     84,     55,     29,    126,     97,    219,    173,      0,      0,      0,      0,      0,      0,      0,      0,    17.6,    56.2,    29.4,    67.4,    16.9,    56.1,    28.3,    67.3,    17.6,    56.2,    29.4,    67.4,    16.9,    56.1,    28.3,    67.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
"EURO FX - CHICAGO MERCANTILE EXCHANGE",251028,2025-10-28,099741,CME ,00,099 ,  843717,  250400,  143067,   18586,  482554,  634150,  751540,  795803,   92177,   47914,  843717,  250400,  143067,   18586,  482554,  634150,  751540,  795803,   92177,   47914,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    7830,    5893,   10312,   -1065,    2593,   -2044,    7421,    7203,     409,     627,  100.0,   29.7,   17.0,    2.2,   57.2,   75.2,   89.1,   94.3,   10.9,    5.7,  100.0,   29.7,   17.0,    2.2,   57.2,   75.2,   89.1,   94.3,   10.9,    5.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    301,     85,     42,     27,    130,     91,    224,    152,    301,     85,     42,     27,    130,     91,    224,    152,      0,      0,      0,      0,      0,      0,      0,      0,    17.4,    57.1,    28.5,    69.8,    16.6,    57.0,    27.3,    69.7,    17.4,    57.1,    28.5,    69.8,    16.6,    57.0,    27.3,    69.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 "
